MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20.0,0.259,70.0,11200.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0297,0.1133,0.1256,0.2426,0.1335,5.0,5.0,1965.0,1965.0,0.1921,0.1048,0.0653,0.0598,0.1548,0.0,0.1736,0.2509,0.155,0.1578,0.2666,0.178,0.131,906.0,0.1584,0.0,134.0,1040.0,0.2548,0.2964,0.6388,0.2496,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,0.178,5.0,0.1814,0.0,0.0,0.1201,1965.0,0.2067,1.0,384.0,0.193,0.2296,0.4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,0.1035,0.1726
60.0,0.259,85.0,11924.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1826,0.3097,0.0688,0.1133,0.1256,0.2426,0.1593,9.0,5.0,2005.0,2006.0,0.1921,0.1048,0.0604,0.0575,0.2631,286.0,0.4419,0.2509,0.2331,0.3667,0.2666,0.178,0.2099,998.0,0.1584,0.0,177.0,1175.0,0.2548,0.2964,0.6388,0.2496,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4.0,1.0,0.4179,11.0,0.1814,2.0,0.2122,0.2281,2005.0,0.3491,3.0,736.0,0.193,0.2296,0.4298,147.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,0.1641,0.2682
20.0,0.259,79.16993015447028,12968.0,0.5818,0.0,0.2901,0.2376,0.5682,0.1826,0.3097,0.0297,0.1133,0.1256,0.2426,0.1335,5.0,6.0,1962.0,1962.0,0.1921,0.1048,0.0653,0.0599,0.1548,0.0,0.1736,0.2509,0.155,0.1578,0.2666,0.178,0.1441,737.0,0.1584,0.0,175.0,912.0,0.2548,0.1963,0.6388,0.2496,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,0.178,4.0,0.1814,0.0,0.0,0.1201,1962.0,0.2067,1.0,352.0,0.193,0.2296,0.4298,140.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,0.1035,0.1726
20.0,0.259,91.0,10652.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1826,0.3097,0.043,0.1133,0.1256,0.2426,0.1335,7.0,5.0,2006.0,2007.0,0.1505,0.1048,0.0856,0.0765,0.2631,306.0,0.2786,0.2509,0.2331,0.2273,0.2666,0.222,0.1522,0.0,0.1584,0.0,1494.0,1494.0,0.2548,0.2964,0.6388,0.2496,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,0.2698,7.0,0.1814,1.0,0.2122,0.1817,2006.0,0.2939,3.0,840.0,0.193,0.2296,0.4298,160.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,0.1641,0.2682
20.0,0.259,76.41264697054933,10920.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1875,0.3097,0.0317,0.1133,0.1256,0.2426,0.1335,6.0,5.0,1960.0,1960.0,0.1921,0.1048,0.0599,0.0534,0.2028,212.0,0.1736,0.2509,0.155,0.1578,0.2666,0.178,0.1333,733.0,0.1584,0.0,520.0,1253.0,0.2548,0.1963,0.6388,0.2496,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,0.178,5.0,0.1814,1.0,0.1568,0.1817,1960.0,0.2939,1.0,352.0,0.193,0.2296,0.4298,0.0,213.0,176.0,0.0,0.0,0.0,0.0,0.2331,0.0,0.0,5.0,2008.0,0.1035,0.1726
45.0,0.1713,51.0,6120.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1875,0.3097,0.0271,0.1133,0.1256,0.2426,0.0835,7.0,8.0,1929.0,2001.0,0.1505,0.1048,0.06,0.0529,0.1548,0.0,0.1736,0.2509,0.1369,0.1578,0.2666,0.178,0.1522,0.0,0.1584,0.0,832.0,832.0,0.2548,0.2964,0.6388,0.1632,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,0.178,5.0,0.1814,0.0,0.0,0.1201,1991.0,0.2067,2.0,576.0,0.193,0.2296,0.4298,48.0,112.0,0.0,0.0,0.0,0.0,0.0,0.2971,0.0,0.0,7.0,2007.0,0.1035,0.1726
20.0,0.259,76.13411869471466,11241.0,0.5818,0.0,0.2493,0.2376,0.5682,0.2311,0.3097,0.0317,0.1133,0.1256,0.2426,0.1335,6.0,7.0,1970.0,1970.0,0.1505,0.1048,0.06,0.0529,0.2028,180.0,0.1736,0.2509,0.155,0.1578,0.2666,0.178,0.1441,578.0,0.1584,0.0,426.0,1004.0,0.2548,0.2964,0.6388,0.2496,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,0.178,5.0,0.1814,1.0,0.1928,0.1817,1970.0,0.3491,2.0,480.0,0.193,0.2296,0.4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,700.0,3.0,2010.0,0.1035,0.1726
90.0,0.259,72.0,10791.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0297,0.1133,0.1256,0.1744,0.1335,4.0,5.0,1967.0,1967.0,0.1505,0.1048,0.0599,0.0534,0.1548,0.0,0.1736,0.2509,0.1111,0.1185,0.1534,0.116,0.0942,0.0,0.0946,0.0,0.0,0.0,0.2548,0.1963,0.6388,0.2496,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,2.0,0.178,6.0,0.1814,0.0,0.0,0.0985,1967.0,0.2067,2.0,516.0,0.193,0.2296,0.4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,500.0,10.0,2006.0,0.1035,0.1726
20.0,0.259,66.0,13695.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0406,0.085,0.1256,0.2426,0.1335,5.0,5.0,2004.0,2004.0,0.1505,0.1048,0.0856,0.0765,0.1548,0.0,0.1736,0.2509,0.2331,0.1578,0.2666,0.178,0.2099,646.0,0.1584,0.0,468.0,1114.0,0.2548,0.2964,0.6388,0.2496,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,0.2698,6.0,0.1814,0.0,0.0,0.1201,2004.0,0.2067,2.0,576.0,0.193,0.2296,0.4298,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,0.1035,0.1726
20.0,0.259,70.0,7560.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0317,0.1133,0.1256,0.2426,0.1335,5.0,6.0,1958.0,1965.0,0.1921,0.1048,0.078,0.0599,0.1548,0.0,0.1736,0.2509,0.155,0.1578,0.2666,0.178,0.1354,504.0,0.1584,0.0,525.0,1029.0,0.2548,0.1963,0.6388,0.2496,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,0.178,6.0,0.1448,0.0,0.0,0.1817,1958.0,0.2067,1.0,294.0,0.193,0.2296,0.4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,5.0,2009.0,0.0859,0.1443
60.0,0.259,101.0,14215.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1875,0.3097,0.0688,0.1133,0.1256,0.2426,0.1593,8.0,5.0,2005.0,2006.0,0.1505,0.1048,0.0856,0.0765,0.2028,380.0,0.2786,0.2509,0.2331,0.3667,0.2666,0.222,0.1522,0.0,0.1584,0.0,1158.0,1158.0,0.2548,0.2964,0.6388,0.2496,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,0.2698,9.0,0.1814,1.0,0.2122,0.2281,2005.0,0.2939,3.0,853.0,0.193,0.2296,0.4298,240.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2006.0,0.1641,0.2682
45.0,0.1713,57.0,7449.0,0.5818,0.4211,0.1993,0.1887,0.5682,0.1826,0.3097,0.0218,0.1133,0.1256,0.2426,0.0835,7.0,7.0,1930.0,1950.0,0.1505,0.1048,0.06,0.0529,0.1548,0.0,0.1736,0.2509,0.2331,0.1578,0.2666,0.178,0.1522,0.0,0.1584,0.0,637.0,637.0,0.2548,0.2964,0.6388,0.1438,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,0.2698,6.0,0.1814,1.0,0.2122,0.1817,1930.0,0.2067,1.0,280.0,0.193,0.2296,0.2652,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.2971,0.0,0.0,6.0,2007.0,0.1035,0.1726
20.0,0.259,75.0,9742.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.043,0.1133,0.1256,0.2426,0.1335,8.0,5.0,2002.0,2002.0,0.1921,0.1048,0.0856,0.0765,0.2028,281.0,0.2786,0.2509,0.2331,0.2273,0.2666,0.178,0.1522,0.0,0.1584,0.0,1777.0,1777.0,0.2548,0.2964,0.6388,0.2496,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,0.2698,7.0,0.1814,1.0,0.2122,0.1817,2002.0,0.2939,2.0,534.0,0.193,0.2296,0.4298,171.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,0.1035,0.1726
120.0,0.1713,44.0,4224.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0214,0.1133,0.1256,0.2377,0.1335,5.0,7.0,1976.0,1976.0,0.1505,0.1048,0.0928,0.082,0.1548,0.0,0.1736,0.2509,0.2331,0.2273,0.2666,0.178,0.2099,840.0,0.1584,0.0,200.0,1040.0,0.2548,0.1963,0.6388,0.2496,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,0.178,6.0,0.1814,1.0,0.1928,0.1817,1976.0,0.2067,2.0,572.0,0.193,0.2296,0.4298,100.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,0.1035,0.1726
20.0,0.259,67.04403046695387,8246.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1826,0.3097,0.0297,0.1133,0.1256,0.2426,0.1335,5.0,8.0,1968.0,2001.0,0.1505,0.1048,0.0705,0.0599,0.1548,0.0,0.1736,0.2303,0.155,0.1578,0.2666,0.2071,0.131,188.0,0.18,668.0,204.0,1060.0,0.2548,0.2964,0.6388,0.2496,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,0.2698,6.0,0.1814,1.0,0.1928,0.1817,1968.0,0.2067,1.0,270.0,0.193,0.2296,0.4298,406.0,90.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,5.0,2010.0,0.1035,0.1726
20.0,0.259,110.0,14230.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1875,0.3097,0.0688,0.1133,0.1256,0.2426,0.1335,8.0,5.0,2007.0,2007.0,0.1505,0.1048,0.0856,0.0765,0.2631,640.0,0.2786,0.2509,0.2331,0.2273,0.2666,0.178,0.1522,0.0,0.1584,0.0,1566.0,1566.0,0.2548,0.2964,0.6388,0.2496,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,0.2698,7.0,0.1814,1.0,0.2122,0.1817,2007.0,0.2939,3.0,890.0,0.193,0.2296,0.4298,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,0.1035,0.1726
20.0,0.259,60.0,7200.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1875,0.3097,0.0317,0.1133,0.1256,0.2426,0.1335,5.0,7.0,1951.0,2000.0,0.1505,0.1048,0.06,0.0529,0.1548,0.0,0.1736,0.2509,0.155,0.1578,0.2666,0.2071,0.1333,234.0,0.1414,486.0,180.0,900.0,0.2548,0.1963,0.6388,0.2496,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,3.0,1.0,0.2698,5.0,0.1814,0.0,0.0,0.1201,2005.0,0.2067,2.0,576.0,0.193,0.2296,0.4298,222.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,0.1035,0.1726
20.0,0.259,98.0,11478.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0688,0.1133,0.1256,0.2426,0.1335,8.0,5.0,2007.0,2008.0,0.1505,0.1048,0.0856,0.0765,0.2631,200.0,0.2786,0.2509,0.2331,0.3667,0.2666,0.178,0.2099,1218.0,0.1584,0.0,486.0,1704.0,0.2548,0.2964,0.6388,0.2496,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,0.2698,7.0,0.1814,1.0,0.2122,0.1817,2008.0,0.2939,3.0,772.0,0.193,0.2296,0.4298,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,0.1035,0.1726
20.0,0.259,47.0,16321.0,0.5818,0.0,0.2493,0.2376,0.5682,0.2311,0.3097,0.0317,0.1133,0.1256,0.2426,0.1335,5.0,6.0,1957.0,1997.0,0.1505,0.1048,0.0599,0.0534,0.1548,0.0,0.1736,0.2509,0.155,0.1578,0.2666,0.2769,0.1333,1277.0,0.1584,0.0,207.0,1484.0,0.2548,0.1963,0.6388,0.2496,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,0.178,6.0,0.1814,2.0,0.2122,0.1817,1957.0,0.2939,1.0,319.0,0.193,0.2296,0.4298,288.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,0.1035,0.1726
30.0,0.1713,60.0,6324.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1826,0.3097,0.0271,0.0875,0.0671,0.2426,0.1335,4.0,6.0,1927.0,1950.0,0.1505,0.1048,0.0599,0.0534,0.1548,0.0,0.1736,0.2509,0.1369,0.1578,0.2666,0.178,0.1522,0.0,0.1584,0.0,520.0,520.0,0.2548,0.1709,0.3612,0.2496,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1343,4.0,0.1814,0.0,0.0,0.1201,1920.0,0.2067,1.0,240.0,0.1272,0.2296,0.4298,49.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2008.0,0.1035,0.1726
70.0,0.1011,50.0,8500.0,0.5818,0.5789,0.1993,0.2376,0.5682,0.1826,0.3097,0.0218,0.0875,0.1256,0.2426,0.1593,4.0,4.0,1920.0,1950.0,0.1307,0.1048,0.078,0.0698,0.1548,0.0,0.1736,0.1399,0.1369,0.1578,0.2666,0.178,0.1522,0.0,0.1584,0.0,649.0,649.0,0.2548,0.1963,0.3612,0.2496,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,0.178,6.0,0.1814,0.0,0.0,0.1201,1920.0,0.2067,1.0,250.0,0.193,0.1401,0.2652,0.0,54.0,172.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,7.0,2008.0,0.1035,0.1726
20.0,0.259,68.21540460410112,8544.0,0.5818,0.0,0.2493,0.2376,0.5682,0.2311,0.3097,0.0297,0.1133,0.1256,0.2426,0.1335,5.0,6.0,1966.0,2006.0,0.1505,0.1048,0.0653,0.0598,0.1548,0.0,0.1736,0.2509,0.155,0.1578,0.2666,0.178,0.1522,0.0,0.1584,0.0,1228.0,1228.0,0.2548,0.2163,0.6388,0.2496,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,0.2698,6.0,0.1814,0.0,0.0,0.1817,1966.0,0.2067,1.0,271.0,0.193,0.2296,0.4298,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,6.0,2008.0,0.1035,0.1726
20.0,0.259,85.0,11049.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1875,0.3097,0.043,0.1133,0.1256,0.2426,0.1335,8.0,5.0,2007.0,2007.0,0.1505,0.1048,0.0856,0.0765,0.1548,0.0,0.2786,0.2509,0.2331,0.3667,0.2666,0.222,0.1522,0.0,0.1584,0.0,1234.0,1234.0,0.2548,0.2964,0.6388,0.2496,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,0.2698,7.0,0.1814,0.0,0.0,0.1817,2007.0,0.2939,2.0,484.0,0.193,0.2296,0.4298,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,0.1035,0.1726
20.0,0.259,70.0,10552.0,0.5818,0.0,0.2493,0.2376,0.5682,0.1826,0.3097,0.0317,0.1133,0.1256,0.2426,0.1335,5.0,5.0,1959.0,1959.0,0.1921,0.1048,0.078,0.0698,0.1548,0.0,0.1736,0.2509,0.155,0.1578,0.2666,0.178,0.131,1018.0,0.1584,0.0,380.0,1398.0,0.2548,0.2163,0.6388,0.2496,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,4.0,1.0,0.2698,6.0,0.1814,1.0,0.2122,0.1817,1959.0,0.2939,2.0,447.0,0.193,0.2296,0.4298,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,0.1035,0.1726
120.0,0.259,60.0,7313.0,0.5818,0.0,0.1993,0.2376,0.5682,0.1826,0.3097,0.0688,0.1133,0.1256,0.2377,0.1335,9.0,5.0,2005.0,2005.0,0.1921,0.1048,0.0599,0.0534,0.2028,246.0,0.4419,0.2509,0.2331,0.3667,0.2666,0.178,0.2099,1153.0,0.1584,0.0,408.0,1561.0,0.2548,0.2964,0.6388,0.2496,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,1.0,0.4179,6.0,0.1814,1.0,0.2122,0.1817,2005.0,0.3491,2.0,556.0,0.193,0.2296,0.4298,203.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,0.1035,0.1726
